tokens_lemmatized
"['trf', 'indiaforensic', 'service']"
"['trf', 'indiaforensic', 'service']"
"['fdrlinternal', 'fund', 'transfe']"
"['trf', 'frm', 'indiaforensic', 'service']"
"['fdrlinternal', 'fund', 'transfe']"
"['fdrlinternal', 'fund', 'transfe']"
"['fdrlinternal', 'fund', 'transfe']"
"['fdrlinternal', 'fund', 'transfe']"
"['fdrlinternal', 'fund', 'transfe']"
"['fdrlinternal', 'fund', 'transfe']"
"['indo', 'gibl', 'indiaforensic', 'stl01071']"
"['indo', 'gibl', 'indiaforensic', 'stl02071']"
"['indo', 'gibl', 'indiaforensic', 'stl03071']"
"['indo', 'gibl', 'indiaforensic', 'stl04071']"
"['indo', 'gibl', 'indiaforensic', 'stl05071']"
"['indo', 'gibl', 'indiaforensic', 'stl06071']"
"['indo', 'gibl', 'indiaforensic', 'stl07071']"
"['indo', 'gibl', 'indiaforensic', 'stl10071']"
"['indo', 'gibl', 'indiaforensic', 'stl11071']"
"['indo', 'gibl', 'indiaforensic', 'stl12071']"
"['indo', 'gibl', 'indiaforensic', 'stl13071']"
"['indo', 'gibl', 'indiaforensic', 'stl14071']"
"['indo', 'gibl', 'indiaforensic', 'stl15071']"
"['indo', 'gibl', 'indiaforensic', 'stl16071']"
"['indo', 'gibl', 'indiaforensic', 'stl17071']"
"['indo', 'gibl', 'indiaforensic', 'stl18071']"
"['indo', 'gibl', 'indiaforensic', 'stl19071']"
"['indo', 'gibl', 'indiaforensic', 'stl20071']"
"['indo', 'gibl', 'indiaforensic', 'stl21071']"
"['indo', 'gibl', 'indiaforensic', 'stl22071']"
"['indo', 'gibl', 'indiaforensic', 'stl24071']"
"['indo', 'gibl', 'indiaforensic', 'stl25071']"
"['indo', 'gibl', 'indiaforensic', 'stl26071']"
"['indo', 'gibl', 'indiaforensic', 'stl27071']"
"['indo', 'gibl', 'indiaforensic', 'stl28071']"
"['indo', 'gibl', 'indiaforensic', 'stl30071']"
"['indo', 'gibl', 'indiaforensic', 'stl31071']"
"['indo', 'gibl', 'indiaforensic', 'stl01081']"
"['indo', 'gibl', 'indiaforensic', 'stl02081']"
"['indo', 'gibl', 'indiaforensic', 'stl03081']"
"['indo', 'gibl', 'indiaforensic', 'stl04081']"
"['indo', 'gibl', 'indiaforensic', 'stl05081']"
"['indo', 'gibl', 'indiaforensic', 'stl06081']"
"['indo', 'gibl', 'indiaforensic', 'stl07081']"
"['indo', 'gibl', 'indiaforensic', 'stl08081']"
"['indo', 'gibl', 'indiaforensic', 'stl09081']"
"['indo', 'gibl', 'indiaforensic', 'stl10081']"
"['indo', 'gibl', 'indiaforensic', 'stl11081']"
"['indo', 'gibl', 'indiaforensic', 'stl12081']"
"['indo', 'gibl', 'indiaforensic', 'stl13081']"
"['indo', 'gibl', 'indiaforensic', 'stl14081']"
"['indo', 'gibl', 'indiaforensic', 'stl16081']"
"['indo', 'gibl', 'indiaforensic', 'stl17081']"
"['indo', 'gibl', 'indiaforensic', 'stl18081']"
"['indo', 'gibl', 'indiaforensic', 'stl19081']"
"['indo', 'gibl', 'indiaforensic', 'stl20081']"
"['indo', 'gibl', 'indiaforensic', 'stl21081']"
"['indo', 'gibl', 'indiaforensic', 'stl22081']"
"['indo', 'gibl', 'indiaforensic', 'stl23081']"
"['indo', 'gibl', 'indiaforensic', 'stl24081']"
"['indo', 'gibl', 'indiaforensic', 'stl25081']"
"['indo', 'gibl', 'indiaforensic', 'stl26081']"
"['indo', 'gibl', 'indiaforensic', 'stl28081']"
"['indo', 'gibl', 'indiaforensic', 'stl29081']"
"['indo', 'gibl', 'indiaforensic', 'stl30081']"
"['indo', 'gibl', 'indiaforensic', 'stl31081']"
"['indo', 'gibl', 'indiaforensic', 'stl01091']"
"['indo', 'gibl', 'indiaforensic', 'stl02091']"
"['indo', 'gibl', 'indiaforensic', 'stl03091']"
"['indo', 'gibl', 'indiaforensic', 'stl04091']"
"['indo', 'gibl', 'indiaforensic', 'stl05091']"
"['indo', 'gibl', 'indiaforensic', 'stl06091']"
"['indo', 'gibl', 'indiaforensic', 'stl07091']"
"['indo', 'gibl', 'indiaforensic', 'stl08091']"
"['indo', 'gibl', 'indiaforensic', 'stl09091']"
"['indo', 'gibl', 'indiaforensic', 'stl10091']"
"['indo', 'gibl', 'indiaforensic', 'stl11091']"
"['indo', 'gibl', 'indiaforensic', 'stl12091']"
"['indo', 'gibl', 'indiaforensic', 'stl13091']"
"['indo', 'gibl', 'indiaforensic', 'stl14091']"
"['indo', 'gibl', 'indiaforensic', 'stl15091']"
"['indo', 'gibl', 'indiaforensic', 'stl16091']"
"['indo', 'gibl', 'indiaforensic', 'stl17091']"
"['fdrlinternal', 'fund', 'transfe']"
"['fdrlinternal', 'fund', 'transfe']"
"['fdrlinternal', 'fund', 'transfe']"
"['fdrlinternal', 'fund', 'transfe']"
"['fdrlinternal', 'fund', 'transfe']"
"['indo', 'gibl', 'indiaforensic', 'stl18091']"
"['indo', 'gibl', 'indiaforensic', 'stl19091']"
"['indo', 'gibl', 'indiaforensic', 'stl20091']"
"['indo', 'gibl', 'indiaforensic', 'stl21091']"
"['indo', 'gibl', 'indiaforensic', 'stl22091']"
"['indo', 'gibl', 'indiaforensic', 'stl23091']"
"['indo', 'gibl', 'indiaforensic', 'stl24091']"
"['indo', 'gibl', 'indiaforensic', 'stl25091']"
"['indo', 'gibl', 'indiaforensic', 'stl26091']"
"['indo', 'gibl', 'indiaforensic', 'stl27091']"
